path_length, path_cost
438.1147904132626,932.0
441.3279938488591,906.0
448.39906166072467,928.0
444.0142853498743,923.0
465.57063453597846,945.0
448.9432175380088,927.0
446.6000717875012,926.0
441.77164466275497,929.0
453.18585822512813,928.0
447.57063453597846,914.0
452.0142853498743,928.0
436.8427124746205,916.0
450.4995667241129,927.0
447.1858582251281,934.0
437.52900397563565,936.0
447.1858582251281,937.0
433.4284989122474,915.0
448.499566724113,927.0
446.60007178750124,947.0
441.52900397563565,913.0
455.32799384885914,931.0
460.1147904132626,958.0
450.15642097360535,917.0
440.6000717875012,926.0
444.1564209736054,919.0
0.0,0.0
467.4701294725902,937.0
462.9848480983517,910.0
447.0853531617398,918.0
448.45793616377017,937.0
455.3279938488592,913.0
467.4701294725902,910.0
446.15642097360535,905.0
457.6711395993667,941.0
450.74220741123224,925.0
469.61226509632127,912.0
457.91378028648603,935.0
452.98484809835156,909.0
437.1858582251281,931.0
435.2863632885163,933.0
451.9137802864861,933.0
453.67113959936677,943.0
451.57063453597846,931.0
444.01428534987434,926.0
444.84271247462055,925.0
448.3574311003818,926.0
468.7422074112323,938.0
444.8427124746205,931.0
449.0853531617398,914.0
443.18585822512813,938.0
450.2569260369936,933.0
461.2274887854709,927.0
446.4579361637702,936.0
425.1858582251281,917.0
450.2569260369937,941.0
436.70057685088943,938.0
446.8427124746205,906.0
447.0853531617398,917.0
446.6000717875013,931.0
438.35743110038186,928.0
451.0853531617398,927.0
455.6711395993667,917.0
456.2569260369936,937.0
453.57063453597846,919.0
432.2569260369936,912.0
442.7422074112322,924.0
455.6711395993667,932.0
456.25692603699366,933.0
459.8132752230978,908.0
452.0142853498743,924.0
445.3868683519047,951.0
0.0,0.0
444.6000717875012,927.0
456.98484809835156,917.0
444.35743110038186,925.0
444.0142853498743,927.0
455.67113959936677,929.0
455.0853531617399,923.0
478.78383797157505,935.0
445.5706345359784,906.0
446.357431100382,936.0
439.52900397563565,944.0
441.6711395993667,913.0
450.2569260369936,921.0
452.7422074112323,930.0
443.91378028648603,922.0
448.3990616607246,909.0
445.6711395993667,920.0
